EN	FR
Once Upon A Soul: Stories of striving and yearning.	Once Upon A Soul: Stories of Striving and Yearning.
In water iron then shall float, As easy as a wooden boat.	In water iron then shall float, As easy as a wooden boat.
We need more heroines like you, Tina.	We need more heroines like you, Tina.
They wear mourning for seven full days, after which they put it off.	They wear mourning for seven full days, after which they put it off.
Certainly our God would not be satisfied.	Certainly our God would not be satisfied.
You thought to this day that there were tyrants?	Vous avez cru jusqu'à ce jour qu'il y avait des tyrans ?
"How do you feed your family?"""	"Comment nourrissez-vous votre famille ?"""
The first group shows God creating the Heavens and the Earth.	Le premier ciel est une voûte à laquelle la terre est fixée par ses extrémités.
Nous consacrons tout à Marie, thème varié – 5.	Nous consacrons tout à Marie, thème varié – 5.
보고싶어 많이많이 Guyz how do u do~we miss u so so much..Thanks 4 waiting us.	보고싶어 많이많이 Guyz how do u do~we miss u so so much..Thanks 4 waiting us.
And wherefore say not I that I am old?	And wherefore say not I that I am old?
"No Mistrals for you!"""	No Mistrals for you!»
Indeed, we are inclined to prefer it beyond every other poem in the book; but let the reader judge.	Indeed, we are inclined to prefer it beyond every other poem in the book; but let the reader judge.
It is said after this he split to a thousand pieces, and became the stars.	Il est dit après cela, qu'il s'est divisé en mille morceaux, et est devenu les étoiles.
Je ne me sentais plus vivant I. Les Grandes Lois II.	Je ne me sentais plus vivant I. Les Grandes Lois II.
They are subservient to him, and created for a purely practical end.	Ils sont serviles à son égard, et créés pour une fin purement pratique.
In a grove of trees of Mirtle Shall I tell you whom I love?	In a grove of trees of Mirtle Shall I tell you whom I love?
19:35- It is not Allah’s Glory that He should take (to Himself anyone as) a son.	La sourate 19.35 : « Il ne convient pas à Allah de S'attribuer un fils.
There is a dispute among the scholars concerning some of the dates, and not all is agreed upon.	There is a dispute among the scholars concerning some of the dates, and not all is agreed upon.
Rather we say that they are thinkers (mufakkireen), just as they call them.	Rather we say that they are thinkers (mufakkireen), just as they call them.
(Commercial) Raymond: Well, we're about to begin our story.	(Commercial) Raymond: Eh bien, nous sommes sur le point de commencer notre histoire.
Kids' Why Questions.	Kids' Why Questions.
